"V2","V3","V4","V5","V6","V7","V8","V9"
0.22,0.36,0.48,0.5,0.35,0.39,0.47,"0"
0.47,0.47,0.48,0.5,0.22,0.16,0.26,"0"
0.54,0.47,0.48,0.5,0.28,0.33,0.42,"0"
0.51,0.37,0.48,0.5,0.35,0.36,0.45,"0"
0.4,0.35,0.48,0.5,0.45,0.33,0.42,"0"
0.44,0.34,0.48,0.5,0.3,0.33,0.43,"0"
0.42,0.38,0.48,0.5,0.54,0.34,0.43,"0"
0.44,0.56,0.48,0.5,0.5,0.46,0.54,"0"
0.52,0.36,0.48,0.5,0.41,0.28,0.38,"0"
0.18,0.3,0.48,0.5,0.46,0.24,0.35,"0"
0.47,0.29,0.48,0.5,0.51,0.33,0.43,"0"
0.52,0.57,0.48,0.5,0.42,0.47,0.54,"0"
0.25,0.37,0.48,0.5,0.43,0.26,0.36,"0"
0.35,0.48,0.48,0.5,0.56,0.4,0.48,"0"
0.26,0.26,0.48,0.5,0.34,0.25,0.35,"0"
0.44,0.42,0.48,0.5,0.42,0.25,0.2,"0"
0.24,0.43,0.48,0.5,0.37,0.28,0.38,"0"
0.42,0.3,0.48,0.5,0.48,0.26,0.36,"0"
0.48,0.42,0.48,0.5,0.45,0.25,0.35,"0"
0.44,0.28,0.48,0.5,0.43,0.27,0.37,"0"
0.29,0.41,0.48,0.5,0.48,0.38,0.46,"0"
0.34,0.28,0.48,0.5,0.41,0.35,0.44,"0"
0.41,0.43,0.48,0.5,0.45,0.31,0.41,"0"
0.29,0.47,0.48,0.5,0.41,0.23,0.34,"0"
0.34,0.55,0.48,0.5,0.58,0.31,0.41,"0"
0.4,0.46,0.48,0.5,0.52,0.49,0.56,"0"
0.34,0.46,0.48,0.5,0.52,0.35,0.44,"0"
0.41,0.43,0.48,0.5,0.5,0.24,0.25,"0"
0.31,0.47,0.48,0.5,0.29,0.28,0.39,"0"
0.35,0.37,0.48,0.5,0.3,0.34,0.43,"0"
0.65,0.55,0.48,0.5,0.34,0.37,0.28,"0"
0.51,0.46,0.48,0.5,0.58,0.31,0.41,"0"
0.38,0.4,0.48,0.5,0.63,0.25,0.35,"0"
0.24,0.57,0.48,0.5,0.63,0.34,0.43,"0"
0.38,0.26,0.48,0.5,0.54,0.16,0.28,"0"
0.24,0.34,0.48,0.5,0.38,0.3,0.4,"0"
0.44,0.49,0.48,0.5,0.39,0.38,0.4,"0"
0.49,0.43,0.48,0.5,0.49,0.3,0.4,"0"
0.47,0.28,0.48,0.5,0.56,0.2,0.25,"0"
0.35,0.34,0.48,0.5,0.46,0.3,0.27,"0"
0.38,0.3,0.48,0.5,0.43,0.29,0.39,"0"
0.41,0.51,0.48,0.5,0.58,0.2,0.31,"0"
0.51,0.49,0.48,0.5,0.53,0.14,0.26,"0"
0.25,0.51,0.48,0.5,0.37,0.42,0.5,"0"
0.29,0.28,0.48,0.5,0.5,0.42,0.5,"0"
0.25,0.26,0.48,0.5,0.39,0.32,0.42,"0"
0.24,0.41,0.48,0.5,0.49,0.23,0.34,"0"
0.17,0.39,0.48,0.5,0.53,0.3,0.39,"0"
0.61,0.36,0.48,0.5,0.49,0.35,0.44,"0"
0.34,0.51,0.48,0.5,0.44,0.37,0.46,"0"
0.4,0.46,0.48,0.5,0.42,0.35,0.44,"0"
0.23,0.34,0.48,0.5,0.43,0.26,0.37,"0"
0.37,0.44,0.48,0.5,0.42,0.39,0.47,"0"
0.39,0.31,0.48,0.5,0.38,0.34,0.43,"0"
0.3,0.44,0.48,0.5,0.49,0.22,0.33,"0"
0.27,0.3,0.48,0.5,0.71,0.28,0.39,"0"
0.17,0.52,0.48,0.5,0.49,0.37,0.46,"0"
0.36,0.42,0.48,0.5,0.53,0.32,0.41,"0"
0.26,0.4,0.48,0.5,0.36,0.26,0.37,"0"
0.22,0.34,0.48,0.5,0.42,0.29,0.39,"0"
0.44,0.35,0.48,0.5,0.44,0.52,0.59,"0"
0.16,0.43,0.48,0.5,0.54,0.27,0.37,"0"
