"V1","V2","V3","V4","V5","V6","V7","V8"
14.33,14.28,0.8831,5.504,3.199,3.328,5.224,"0"
14.92,14.43,0.9006,5.384,3.412,1.142,5.088,"0"
15.38,14.77,0.8857,5.662,3.419,1.999,5.222,"0"
12.11,13.47,0.8392,5.159,3.032,1.502,4.519,"0"
12.36,13.19,0.8923,5.076,3.042,3.22,4.605,"0"
13.22,13.84,0.868,5.395,3.07,4.157,5.088,"0"
12.78,13.57,0.8716,5.262,3.026,1.176,4.782,"0"
12.88,13.5,0.8879,5.139,3.119,2.352,4.607,"0"
14.34,14.37,0.8726,5.63,3.19,1.313,5.15,"0"
14.37,14.39,0.8726,5.569,3.153,1.464,5.3,"0"
17.63,15.98,0.8673,6.191,3.561,4.076,6.06,"0"
16.84,15.67,0.8623,5.998,3.484,4.675,5.877,"0"
17.26,15.73,0.8763,5.978,3.594,4.539,5.791,"0"
19.11,16.26,0.9081,6.154,3.93,2.936,6.079,"0"
17.32,15.91,0.8599,6.064,3.403,3.824,5.922,"0"
20.71,17.23,0.8763,6.579,3.814,4.451,6.451,"0"
17.12,15.55,0.8892,5.85,3.566,2.858,5.746,"0"
20.2,16.89,0.8894,6.285,3.864,5.173,6.187,"0"
19.57,16.74,0.8779,6.384,3.772,1.472,6.273,"0"
19.51,16.71,0.878,6.366,3.801,2.962,6.185,"0"
18.27,16.09,0.887,6.173,3.651,2.443,6.197,"0"
21.18,17.21,0.8989,6.573,4.033,5.78,6.231,"0"
20.88,17.05,0.9031,6.45,4.032,5.016,6.321,"0"
20.1,16.99,0.8746,6.581,3.785,1.955,6.449,"0"
18.59,16.05,0.9066,6.037,3.86,6.001,5.877,"0"
18.36,16.52,0.8452,6.666,3.485,4.933,6.448,"0"
16.87,15.65,0.8648,6.139,3.463,3.696,5.967,"0"
18.98,16.57,0.8687,6.449,3.552,2.144,6.453,"0"
18.72,16.34,0.881,6.219,3.684,2.188,6.097,"0"
16.41,15.25,0.8866,5.718,3.525,4.217,5.618,"0"
17.99,15.86,0.8992,5.89,3.694,2.068,5.837,"0"
19.18,16.63,0.8717,6.369,3.681,3.357,6.229,"0"
18.95,16.42,0.8829,6.248,3.755,3.368,6.148,"0"
18.85,16.17,0.9056,6.152,3.806,2.843,6.2,"0"
18.55,16.22,0.8865,6.153,3.674,1.738,5.894,"0"
18.45,16.12,0.8921,6.107,3.769,2.235,5.794,"0"
19.38,16.72,0.8716,6.303,3.791,3.678,5.965,"0"
19.13,16.31,0.9035,6.183,3.902,2.109,5.924,"0"
19.14,16.61,0.8722,6.259,3.737,6.682,6.053,"0"
20.97,17.25,0.8859,6.563,3.991,4.677,6.316,"0"
19.06,16.45,0.8854,6.416,3.719,2.248,6.163,"0"
18.96,16.2,0.9077,6.051,3.897,4.334,5.75,"0"
19.15,16.45,0.889,6.245,3.815,3.084,6.185,"0"
18.89,16.23,0.9008,6.227,3.769,3.639,5.966,"0"
20.03,16.9,0.8811,6.493,3.857,3.063,6.32,"0"
20.24,16.91,0.8897,6.315,3.962,5.901,6.188,"0"
16.17,15.38,0.8588,5.762,3.387,4.286,5.703,"0"
15.99,14.89,0.9064,5.363,3.582,3.336,5.144,"0"
18.65,16.41,0.8698,6.285,3.594,4.391,6.102,"0"
20.16,17.03,0.8735,6.513,3.773,1.91,6.185,"0"
17.55,15.66,0.8991,5.791,3.69,5.366,5.661,"0"
18.3,15.89,0.9108,5.979,3.755,2.837,5.962,"0"
18.94,16.32,0.8942,6.144,3.825,2.908,5.949,"0"
15.38,14.9,0.8706,5.884,3.268,4.462,5.795,"0"
16.16,15.33,0.8644,5.845,3.395,4.266,5.795,"0"
15.56,14.89,0.8823,5.776,3.408,4.972,5.847,"0"
15.38,14.66,0.899,5.477,3.465,3.6,5.439,"0"
15.57,15.15,0.8527,5.92,3.231,2.64,5.879,"0"
15.6,15.11,0.858,5.832,3.286,2.725,5.752,"0"
